 Order ID ,customer id,CUSTOMER__Name,e-mail Address,Phone No.,CITY/town,Age (yrs),Order Date ,ship_date,Product Cat.,product-name,Qty.,Unit Price(KES/USD/EUR),discount %,curr, TOTAL_amount ,Payment Method ,Order STATUS,review rating(1-5),Marketing_Source?, Full_Address / Street-ZIP 
ORD-103321,CUST-2735,Hassan Kimani,hassan.kimani10@example.com,+254797291993,mombasa,58,21/03/2025,06/04/2025,Beauty,Beauty Item 24,1,13864.53,10,EUR,12478.08,CASH,Pending,N/A,Google Ads,Uhuru Highway 858 | Apartment D-273 | Mombasa | ZIP:80100 | kenya
ORD-104732,CUST-2190,Victor Smith,victor.smith880@example.com,254734845053,dar es salaam,34,2024-05-13,2024-05-17,Sports,Sports Item 48,2,279370.42,10,EUR,502866.76,Debit Card,shipped,3,Organic,Dar es Salaam - 1436 Koinange Street - House A-7 - 14110 - Kenya
ORD-104856,CUST-2260,Diana Smith,diana.smith418@example.com,+254794480606,KSM,18,10-08-2024,10-09-2024,sports,Sports Item 111,1,10277.27,30,KES,7194.09,M-PESA,Complete,,Google Ads,FLR C-535; 603-ARGWINGS KODHEK RD; KISUMU; MACHAKOS; POSTAL CODE 40123; KE
ORD-101280,CUST-2317, Fatima Lopez ,fatima.lopez160@example.com,+254772797483,NBO,53,28/03/2023,14/04/2023,Books,Books Item 39,2,9221.47,15,KES,15676.5,Bank,shipped,3,,Block D-384; 8824-Langata Road; Nairobi; Kiambu; postal code 00100; KE
ORD-103166,CUST-2575,Yara Smith,yara.smith699@example.com,+254740148022,Machakos ,51,12/02/2025,17/02/2025,HOME,Home Item 84,6,7875.87,25,EUR,35441.42,cash,pending,1,Google Ads,"9391, Argwings Kodhek Rd, Machakos County, P.O Box , K.E."
ORD-100228,CUST-1398,Kofi Kamau,kofi.kamau794@example.com,254788699665,Kampala,56,09-15-2024,10-01-2024,Books,Books Item 92,4,15948.14,20,EUR,51034.05,Bank Transfer,Pending,2,,TOM MBOYA STREET 3824 | BLOCK B-158 | KAMPALA | ZIP:256 | KENYA
ORD-104135,CUST-1529,Ivy Okafor,,+254743208670,Thika,66,2023-01-21,2023-01-24,Sports,Sports Item 109,7,2824.91,25,KES,14830.78,Card,Pending,1,Unknown," 6888 Moi Avenue, , Thika, Kisumu, 01000, Kenya "
ORD-102521,CUST-1372,TARIQ KHAN,tariq.khan430@example.com,+254721850648, Thika,48,20-Aug-2024,22-Aug-2024,Clothing,Fashion Item 18,5,9657.06,5,USD,45871.03,M-Pesa,Cancelled,N/A,Instagram,"542 Argwings Kodhek Rd, Thika, kenya, 01000"
ORD-100972,CUST-2877,Zane Hussein,zane.hussein867@example.com,+254789351429,Nairobii,68,02-26-2023,03-02-2023,groceries,Groceries Item 101,8,8725.06,30,USD,48860.34,M-Pesa,shipped,1,Organic,"8807 Uhuru Highway, Nairobi, K.E., 00606"
ORD-102460,CUST-3483,Grace Hussein,grace.hussein478@example.com,+254712879979,kisumu,47,30/11/2024,16/12/2024,home and kitchen,Home Item 113,7,14623.71,0,EUR,102365.97,bank transfer,shipped,1,Email,Haile Selassie Ave 338 | Block D-312 | Kisumu | ZIP:40100 | KE
